model,q_type,failure_rate,n
bria_fibo,negation,0.6667,3
bria_fibo,numeracy,0.25,12
bria_fibo,spatial,0.2,20
bria_fibo,attribute,0.0,18
bria_fibo,material,0.0,5
bria_fibo,presence,0.0,33
flux2_max,negation,0.6667,3
flux2_max,spatial,0.4,20
flux2_max,numeracy,0.3333,12
flux2_max,presence,0.3333,33
flux2_max,material,0.2,5
flux2_max,attribute,0.1111,18
gpt_image_15,negation,0.6667,3
gpt_image_15,numeracy,0.1667,12
gpt_image_15,spatial,0.05,20
gpt_image_15,attribute,0.0,18
gpt_image_15,material,0.0,5
gpt_image_15,presence,0.0,33
gpt_image_2,negation,0.6667,3
gpt_image_2,presence,0.0303,33
gpt_image_2,attribute,0.0,18
gpt_image_2,material,0.0,5
gpt_image_2,numeracy,0.0,12
gpt_image_2,spatial,0.0,20
xai_aurora,negation,0.6667,3
xai_aurora,numeracy,0.0833,12
xai_aurora,presence,0.0303,33
xai_aurora,attribute,0.0,18
xai_aurora,material,0.0,5
xai_aurora,spatial,0.0,20
